AgencyName,Mean,Stnd.Dev,2.5% CI,97.5 % CI,Agency
Action,-2.07,0.55,-3.14,-1.05,NA
Commission on Civil Rights,-2.01,0.45,-2.91,-1.18,CC00
Corporation for National and Community Service,-1.72,0.43,-2.56,-0.91,KS00
Peace Corps,-1.72,0.38,-2.49,-1.02,PU00
Consumer Product Safety Commission,-1.69,0.38,-2.42,-0.99,SK00
African Development Foundation,-1.64,0.45,-2.55,-0.82,AN00
Equal Employment Opportunity Commission,-1.58,0.34,-2.28,-0.97,EE00
Occupational Safety and Health Review Commission,-1.52,0.37,-2.25,-0.82,OS00
Department of Labor,-1.43,0.32,-2.03,-0.81,DL00
Department of Housing and Urban Development,-1.33,0.3,-1.93,-0.8,HU00
Department of Health and Human Services,-1.32,0.3,-1.91,-0.78,HE00
Department of Education,-1.22,0.27,-1.78,-0.75,ED00
Environmental Protection Agency,-1.21,0.27,-1.74,-0.72,EP00
Appalachian Regional Commission,-1.05,0.31,-1.7,-0.5,AP00
National Foundation on the Arts and the Humanities,-1,0.25,-1.52,-0.54,AH00
Federal Labor Relations Authority,-0.71,0.27,-1.24,-0.2,AU00
Council on Environmental Quality,-0.7,0.22,-1.14,-0.29,EQ00
Merit Systems Protection Board,-0.68,0.25,-1.17,-0.21,BD00
InterAmerican Foundation,-0.62,0.58,-1.76,0.51,IF00
U.S. Agency for International Development,-0.54,0.2,-0.96,-0.17,AM00
Federal Mediation and Conciliation Service,-0.46,0.31,-1.08,0.13,FM00
Social Security Administration,-0.45,0.17,-0.78,-0.1,SZ00
National Mediation Board,-0.44,0.28,-1.01,0.07,NM00
National Science Foundation,-0.35,0.16,-0.66,-0.05,NF00
National Transportation Safety Board,-0.31,0.18,-0.65,0.04,TB00
National Labor Relations Board,-0.27,0.16,-0.58,0.05,NL00
Department of State,-0.27,0.16,-0.58,0.04,ST00
Federal Mine Safety and Health Review Commission,-0.24,0.18,-0.59,0.11,RS00
Federal Housing Finance Board,-0.16,0.29,-0.73,0.42,FY00
Railroad Retirement Board,-0.12,0.28,-0.68,0.39,RR00
National Archives and Records Administration,-0.12,0.17,-0.46,0.22,NQ00
Office of Government Ethics,-0.1,0.19,-0.46,0.26,GG00
National Aeronautics and Space Administration,-0.07,0.16,-0.38,0.24,NN00
Board for International Broadcasting,-0.05,0.29,-0.62,0.51,NA
Federal Maritime Commission,-0.05,0.23,-0.52,0.38,MC00
Office of Science and Technology Policy,0.01,0.17,-0.32,0.34,TS00
National Credit Union Administration,0.03,0.27,-0.52,0.56,CU00
Federal Election Commission,0.05,0.16,-0.27,0.35,LF00
National Capital Planning Commission,0.05,0.24,-0.46,0.49,NP00
Department of Transportation,0.07,0.15,-0.23,0.36,TD00
Administrative Conference of the United States,0.07,0.19,-0.29,0.44,AA00
Federal Emergency Management Agency,0.08,0.15,-0.19,0.37,HSCB
Pennsylvania Avenue Development Corporation,0.1,0.27,-0.43,0.63,NA
Farm Credit Administration,0.1,0.23,-0.31,0.57,FL00
Interstate Commerce Commission,0.12,0.19,-0.25,0.49,NA
Federal Trade Commission,0.12,0.17,-0.19,0.47,FT00
Department of Agriculture,0.16,0.17,-0.16,0.5,AG00
Federal Retirement Thrift Investment Board,0.17,0.26,-0.35,0.66,RF00
Office of Administration,0.17,0.23,-0.26,0.63,EC00
Department of Veterans Affairs,0.23,0.17,-0.12,0.55,VA00
Office of Personnel Management,0.24,0.15,-0.06,0.54,OM00
Broadcasting Board of Governors/USIA,0.25,0.26,-0.27,0.75,IB00
General Services Administration,0.26,0.16,-0.04,0.6,GS00
Office of Special Counsel,0.26,0.18,-0.09,0.61,FW00
Pension Benefit Guarantee Corporation,0.27,0.23,-0.17,0.75,BG00
Executive Residence at the White House,0.3,0.17,-0.03,0.62,EX00
Federal Communications Commission,0.32,0.15,0.02,0.62,FC00
Department of Energy,0.35,0.17,0.01,0.68,DN00
Department of Justice,0.37,0.16,0.05,0.67,DJ00
Trade and Development Agency,0.4,0.38,-0.34,1.18,EW00
Department of the Interior,0.47,0.17,0.14,0.81,IN00
Defense Nuclear Facilities Safety Board,0.48,0.21,0.08,0.91,BF00
Council of Economic Advisers,0.49,0.16,0.16,0.81,CE00
Federal Deposit Insurance Corporation,0.52,0.2,0.15,0.94,FD00
Nuclear Regulatory Commission,0.53,0.21,0.14,0.94,NU00
Office of the U.S. Trade Representative,0.6,0.19,0.22,0.97,TN00
Commodity Futures Trading Commission,0.73,0.22,0.29,1.15,CT00
Securities and Exchange Commission,0.73,0.18,0.38,1.11,SE00
Office of Management and Budget,0.85,0.19,0.47,1.23,BO00
U.S. International Trade Commission,0.87,0.25,0.38,1.38,TC00
Department of Homeland Security,0.88,0.19,0.51,1.26,HS00
Department of the Treasury,1.07,0.21,0.68,1.48,TR00
Overseas Private Investment Corporation,1.12,0.39,0.4,1.91,GB00
Export Import Bank of the United States,1.14,0.35,0.48,1.8,EB00
Small Business Administration,1.17,0.24,0.72,1.67,SB00
Department of Commerce,1.25,0.24,0.8,1.75,CM00
National Security Council,1.4,0.25,0.91,1.87,NS00
Office of National Drug Control Policy,1.77,0.37,1.04,2.47,QQ00
Department of the Air Force,1.95,0.35,1.31,2.68,AF00
Department of the Army,2.04,0.38,1.34,2.77,AR00
Department of Defense,2.21,0.41,1.49,3.06,DD00
Department of the Navy,2.4,0.46,1.54,3.3,NV00
