,agency,agency2,OPMname,OPMcode,clinton1,clinton2,gwb1,gwb2,obama
1,department of the air force,,DEPARTMENT OF THE AIR FORCE,AF,0.221696864,0.315466406,0.240924538,0.07762113,0.107541864
2,department of agriculture,,DEPARTMENT OF AGRICULTURE,AG,-0.155982117,-0.166840869,0.071749076,-0.054579494,-0.221790596
3,department of the army,,DEPARTMENT OF THE ARMY,AR,0.239532412,0.251071879,0.14257471,0.049435738,0.105388456
4,federal labor relations authority,,FEDERAL LABOR RELATIONS AUTHORITY,AU00,-0.144611118,-0.393705876,-0.103114509,-0.176450134,0.233998556
5,merit systems protection board,,MERIT SYSTEMS PROTECTION BOARD,BD00,-0.166004548,-0.355757215,0.123989631,-0.095311833,-0.352437945
6,pension benefit guaranty corporation,,PENSION BENEFIT GUARANTY CORPORATION,BG00,-0.333515149,-0.179569216,-0.243898347,-0.125429463,-0.250060102
7,office of management and budget,,OFFICE OF MANAGEMENT AND BUDGET,BO00,-0.291508413,-0.350657722,-0.143456197,0.212270012,-0.256723959
8,commission on civil rights,,COMMISSION ON CIVIL RIGHTS,CC00,NA,-0.476649995,-0.476649995,-0.361572753,NA
9,department of commerce,,DEPARTMENT OF COMMERCE,CM,-0.277650957,-0.1343719,0.069032167,-0.111039034,-0.28484818
10,commodity futures trading commission,,COMMODITY FUTURES TRADING COMMISSION,CT00,0.097892248,-0.272093457,-0.206062258,-0.080781494,-0.350418668
11,national credit union administration,,NATIONAL CREDIT UNION ADMINISTRATION,CU00,0.077406511,-0.212734029,0.21474124,-0.247063516,-0.286161255
12,panama canal commission,,PANAMA CANAL COMMISSION,CZ00,NA,-0.338999997,NA,0.448671075,NA
13,department of defense,,DEPARTMENT OF DEFENSE,DD,0.11970533,0.077768785,0.190504547,0.065946937,-0.054787766
14,department of justice,,DEPARTMENT OF JUSTICE,DJ,-0.054946848,0.035418335,0.01164498,-0.129159196,-0.159702183
15,department of labor,,DEPARTMENT OF LABOR,DL,-0.305210733,-0.234897134,0.088942231,0.024725012,-0.285191627
16,department of energy,,DEPARTMENT OF ENERGY,DN,-0.279078712,-0.165151956,0.072266785,-0.138606506,-0.156930671
17,export-import bank of the united states,,EXPORT-IMPORT BANK OF THE UNITED STATES,EB00,-0.428079997,-0.016087535,0.068572504,-0.167126801,-0.380322076
18,office of administration,,OFFICE OF ADMINISTRATION,EC00,-0.481999993,-0.314942044,-0.345956654,0.409837138,-0.294407401
19,department of education,,DEPARTMENT OF EDUCATION,ED,-0.330999569,-0.265878952,0.092020886,-0.081340701,-0.255922775
20,equal employment opportunity commission,,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,EE00,-0.399394052,-0.25169092,-0.246786484,-0.29094548,-0.270976985
21,federal emergency management agency,,FEDERAL EMERGENCY MANAGEMENT AGENCY,EM,-0.117679557,-0.053259582,0.041283264,-0.124397183,-0.1430242
