Congress,DistNum,State,PartyCode,Name,FirstDim
1,98,CONNECT,5000,STURGES,0.565
1,98,CONNECT,5000,WADSWORTH,0.765
1,98,CONNECT,5000,SHERMAN,0.608
1,98,CONNECT,5000,HUNTINGTON,0.666
1,98,CONNECT,5000,TRUMBULL,0.705
1,1,DELAWAR,5000,VINING,0.44
1,1,GEORGIA,4000,JACKSON,-0.355
1,2,GEORGIA,4000,BALDWIN,-0.165
1,3,GEORGIA,4000,MATHEWS,-0.411
1,1,MARYLAN,4000,STONE,0.054
1,2,MARYLAN,4000,SENEY,0.238
1,3,MARYLAN,4000,CONTEE,-0.079
1,4,MARYLAN,4000,SMITH  W.,0.403
1,5,MARYLAN,5000,GALE,0.264
1,6,MARYLAN,5000,CARROLL,0.113
1,1,MASSACH,5000,AMES,0.872
1,2,MASSACH,5000,GOODHUE,0.791
1,3,MASSACH,4000,GERRY,0.594
1,4,MASSACH,5000,SEDGWICK,0.865
1,5,MASSACH,5000,PARTRIDGE,0.765
1,6,MASSACH,5000,THACHER,0.857
1,7,MASSACH,5000,LEONARD,0.86
1,8,MASSACH,4000,GROUT,0.359
1,98,NEW HAM,5000,GILMAN,0.4
1,98,NEW HAM,5000,FOSTER,0.762
1,98,NEW HAM,4000,LIVERMORE,0.354
1,98,NEW JER,5000,BOUDINOT,0.59
1,98,NEW JER,5000,CADWALADER,0.697
1,98,NEW JER,5000,SCHUREMAN,0.634
1,98,NEW JER,5000,SINNICKSON,0.576
1,1,NEW YOR,4000,FLOYD,0.408
1,2,NEW YOR,5000,LAURANCE,0.768
1,3,NEW YOR,5000,BENSON,0.824
1,4,NEW YOR,4000,HATHORN,0.172
1,5,NEW YOR,5000,SILVESTER,0.565
1,6,NEW YOR,4000,VANRENSSELA,0.33
1,1,NORTH C,4000,ASHE,-0.473
1,2,NORTH C,4000,WILLIAMSON,0.023
1,3,NORTH C,4000,BLOODWORTH,-0.364
1,4,NORTH C,5000,STEELE,0.223
1,5,NORTH C,5000,SEVIER,-0.088
1,98,PENNSYL,4000,HIESTER,0.087
1,98,PENNSYL,5000,MUHLENGBRG,0.102
1,98,PENNSYL,5000,HARTLEY,0.463
1,98,PENNSYL,5000,SCOTT,0.349
1,98,PENNSYL,5000,WYNKOOP,0.648
