Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,All Appointments
AB-AMERICAN BATTLE MONUMENTS COMMISSION,22,3,0,0,0,0,1,0,0,26,25,0,0,0,1,0,0,0,26,0,52
AF**-UNSPECIFIED,10,0,0,0,0,0,1,0,0,11,0,2,0,0,0,0,0,0,2,0,13
AF02-AIR FORCE INSPECTION AND SAFETY CENTER,19,0,0,0,0,0,0,0,0,19,0,0,2,0,0,0,0,0,2,0,21
AF03-AF OPERATIONAL TEST AND EVAL CTR,178,4,1,0,0,3,0,0,0,186,4,0,15,0,0,0,0,0,19,0,205
AF04-AIR FORCE COMMUNICATIONS AGENCY,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AF06-AIR FORCE AUDIT AGENCY,693,65,0,36,0,3,4,0,0,801,27,0,5,0,0,0,0,0,32,0,833
AF07-AF OFC OF SPECIAL INVESTIGATIONS,142,5,175,0,0,93,1,0,0,416,8,1,2,0,0,1,0,0,12,0,428
AF08-AIR FORCE OFFICE OF SECURITY POLICE,13,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,1,0,14
AF09-AIR FORCE PERSONNEL CENTER,1271,692,35,29,0,30,3,0,0,2060,34,0,18,0,0,0,0,0,52,0,2112
AF0B-U.S. AIR FORCE ACADEMY,1330,134,7,1,0,25,0,0,0,1497,127,172,189,0,0,1,0,0,489,0,1986
"AF0D-U.S. AIR FORCES, EUROPE",1021,193,10,7,0,36,0,0,0,1267,98,846,2,0,0,6,0,0,952,0,2219
AF0J-AIR TRAINING COMMAND,11319,1126,122,74,0,488,0,0,0,13129,901,57,211,0,0,7,0,0,1176,0,14305
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",11815,1759,10,2,0,679,5,0,0,14270,182,4,242,0,0,4,0,0,432,1,14703
"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF",634,15,35,4,0,32,48,6,0,774,28,8,36,4,5,9,2,0,92,0,866
AF0R-PACIFIC AIR FORCES,2680,346,9,7,0,104,0,0,0,3146,202,352,17,0,0,8,0,0,579,3,3728
AF0U-ELECTRONIC SECURITY COMMAND,4,0,0,0,0,1985,0,0,0,1989,0,0,1,0,0,55,0,0,56,0,2045
AF10-AF CTR FOR QUALITY AND MGMT INNOVATION,78,1,0,0,0,1,0,0,0,80,4,0,0,0,0,0,0,0,4,0,84
AF1C-AIR COMBAT COMMAND,7902,592,29,36,0,340,1,0,0,8900,528,20,127,0,0,46,0,0,721,0,9621
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,16,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,2,0,18
AF1L-AIR MOBILITY COMMAND,6555,422,20,6,0,152,1,0,0,7156,286,20,47,0,0,4,0,0,357,0,7513
AF1M-AIR FORCE MATERIEL COMMAND,49097,5525,363,400,0,1121,75,0,0,56581,1223,24,814,0,0,41,0,0,2102,2,58685
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,22,4,0,0,0,1,0,0,0,27,3,0,0,0,0,0,0,0,3,0,30
AF1S-SPACE COMMAND,3631,361,16,16,0,225,0,0,0,4249,109,3,36,0,0,3,0,0,151,1,4401
AF1W-AF ENGINEERING AND SERVICES CTR,101,3,0,1,0,1,0,0,0,106,9,0,0,0,0,0,0,0,9,0,115
AF27-AF AGENCY FOR MODELING AND SIMULATION,12,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
AF28-AF COMMUNICATION AND INFORMATION CENTER,342,6,3,0,0,2,0,0,0,353,20,0,7,0,0,0,0,0,27,0,380
AF29-AF NAT SECURITY EMERGENCY PREPAREDNESS,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
AF2A-AIR FORCE COST CENTER,26,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
AF2B-AIR FORCE DOCTRINE CENTER,11,1,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
AF2D-AIR FORCE PERSONNNEL OPERATIONS AGENCY,18,2,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,0,2,0,22
AF2E-AIR FORCE LEGAL SERVICES CENTER,57,1,29,0,0,2,0,0,0,89,14,5,7,1,0,0,0,0,27,0,116
AF2F-AIR FORCE MEDICAL SERVICES CENTER,20,0,0,0,0,0,0,0,0,20,1,0,1,0,0,0,0,0,2,0,22
AF2G-AF SERVICE INFORMATION AND NEWS CENTER,61,4,0,0,0,2,0,0,0,67,1,0,1,0,0,0,0,0,2,0,69
AF2H-AIR FORCE COMBAT OPERATIONS STAFF,9,1,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,1,0,11
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,397,13,8,0,0,11,1,0,0,430,5,0,27,0,0,0,0,0,32,0,462
AF2K-USAF HISTORICAL RESEARCH CTR,34,0,0,0,0,0,0,0,0,34,17,0,1,0,0,12,0,0,30,0,64
AF2M-AIR FORCE REVIEW BOARDS OFFICE,29,2,1,0,0,1,1,0,0,34,3,0,6,0,0,0,0,0,9,0,43
AF2N-AF CTR FOR STUDIES AND ANALYSES,17,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18
AF2Q-AIR WEATHER SERVICE,139,18,0,0,0,5,0,0,0,162,31,0,0,0,0,0,0,0,31,0,193
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,10,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,12
AF2S-HQ NORAD,21,1,0,0,0,9,0,0,0,31,0,0,0,0,0,0,0,0,0,0,31
AF2T-AIR FORCE SUPPLY CENTER,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50
"AF2U-AIR FORCE MORALE, WELFARE & REC CENTER",154,8,5,0,0,0,0,0,0,167,6,1,0,0,0,0,0,0,7,0,174
AF2V-AIR FORCE DISPOSAL AGENCY,236,4,9,1,0,2,1,0,0,253,4,1,1,0,0,0,0,0,6,1,260
AF2W-AIR FORCE DISTRICT OF WASHINGTON,797,61,12,8,0,25,0,1,0,904,71,8,49,0,0,50,0,0,178,0,1082
AF2X-AIR FORCE REAL ESTATE AGENCY,10,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
AF2Y-AIR FORCE PENTAGON COMMUNICATIONS AGENCY,262,10,3,4,0,7,0,0,0,286,1,0,4,0,0,0,0,0,5,0,291
AF2Z-HQ AIR FORCE MEDICAL OPERATIONS AGENCY,49,9,0,0,0,2,0,0,0,60,0,2,1,0,0,0,0,0,3,0,63
AF34-AIR NAT GUARD UNITS (MOBIL) (TITLE 5),729,69,0,2,0,46,0,0,0,846,34,0,0,0,0,0,0,0,34,0,880
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",83,16,0,0,0,65,1,0,0,165,4,13,0,0,0,2,0,0,19,0,184
"AF3D-AIR FORCE ELEMENTS, U.S. SPEC OPER CMD",234,11,0,3,0,63,1,0,0,312,22,0,0,0,0,1,0,0,23,0,335
"AF3G-AIR FORCE ELEMENTS, EUROPE",3,1,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,6
AF3L-CENTER FOR AIR FORCE HISTORY,20,0,0,0,0,0,0,0,0,20,3,0,2,0,0,0,0,0,5,0,25
"AF3N-AIR FORCE ELEMENTS, U.S. ATLANTIC CMD",13,0,0,0,0,72,0,0,0,85,1,0,0,0,0,2,0,0,3,0,88
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC CMD",204,22,0,1,0,106,2,0,0,335,7,0,3,0,0,0,0,0,10,0,345
"AF3S-HDQTRS, U.S. SPACE COMMAND AND NORAD",59,2,0,0,0,49,1,0,0,111,0,0,0,0,0,1,0,0,1,0,112
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTN CMD",246,6,4,0,0,54,3,0,0,313,4,0,1,0,0,0,0,0,5,0,318
"AF3V-AIR FORCE ELEMENTS, OTHER THAN EUROPE",385,21,108,1,0,99,2,1,0,617,4,3,1,1,0,1,0,0,10,0,627
AF3W-AIR FORCE CTR FOR ENVIRONMNTL EXCELLENCE,342,6,5,0,0,0,1,0,0,354,20,2,2,0,0,0,0,0,24,0,378
"AF3Z-JT SERVICES SURV, EVAS, RESIS & ESC AGY",0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),281,1,0,0,0,20783,0,0,0,21065,0,0,0,0,0,1466,0,0,1466,1,22532
"AFZG-U.S. SPEC OPERATIONS CMD (ANG, TITLE 32)",1,0,0,0,0,223,0,0,0,224,0,0,0,0,0,17,0,0,17,0,241
AFZS-U.S. SPEC. OPERATIONS COMMAND (AIR FORCE,478,25,12,0,0,29,0,0,0,544,41,7,1,0,0,1,0,0,50,0,594
AG**-UNSPECIFIED,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2
AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,15,0,0,0,0,0,0,18,0,33,2,0,2,14,11,0,0,0,29,0,62
AG02-AGRICULTURAL MARKETING SERVICE,2165,337,434,15,0,4,7,1,0,2963,7,2952,18,5,0,74,0,0,3056,0,6019
AG03-AGRICULTURAL RESEARCH SERVICE,5566,1145,10,53,0,20,38,1,0,6833,300,296,1012,2,0,11,0,0,1621,0,8454
AG07-RURAL HOUSING SERVICE,5701,435,20,12,0,35,5,1,0,6209,121,4,88,55,0,2,0,0,270,0,6479
AG08-RISK MANAGEMENT AGENCY,469,23,0,4,0,3,2,2,0,503,1,0,1,7,0,3,0,0,12,0,515
