Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Non-permanent,Unspecified,Type of Appointment - All
AB-AMERICAN BATTLE MONUMENTS COMMISSION,18,6,0,0,0,0,1,0,0,25,27,0,0,0,1,0,0,0,28,1,54
AF**-UNSPECIFIED,16,14,1,0,0,2,1,0,0,34,0,2,0,0,0,0,0,0,2,0,36
AF02-AIR FORCE INSPECTION AND SAFETY CENTER,18,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,2,0,20
AF03-AF OPERATIONAL TEST AND EVAL CTR,176,8,1,1,0,4,1,0,0,191,4,0,13,0,0,0,0,0,17,0,208
AF04-AIR FORCE COMMUNICATIONS AGENCY,272,5,3,0,0,2,0,0,0,282,18,0,7,0,0,0,0,0,25,0,307
AF06-AIR FORCE AUDIT AGENCY,667,81,0,50,0,4,4,0,0,806,10,0,2,0,0,0,0,0,12,0,818
AF07-AF OFC OF SPECIAL INVESTIGATIONS,136,13,206,0,0,77,1,0,0,433,7,2,6,0,0,0,0,0,15,0,448
AF08-AIR FORCE OFFICE OF SECURITY POLICE,11,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,1,0,12
AF09-AIR FORCE PERSONNEL CENTER,1237,723,34,32,0,33,3,0,0,2062,44,0,21,0,0,0,0,0,65,0,2127
AF0B-U.S. AIR FORCE ACADEMY,1245,179,6,1,0,30,0,0,0,1461,95,172,135,0,0,1,0,0,403,1,1865
"AF0D-U.S. AIR FORCES, EUROPE",1029,116,11,6,0,38,0,0,0,1200,73,902,1,0,0,8,0,0,984,2,2186
AF0J-AIR TRAINING COMMAND,11344,1236,111,71,0,364,0,0,0,13126,1278,70,289,0,0,8,0,0,1645,2,14773
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",11591,2128,7,1,0,683,6,0,0,14416,184,4,400,0,0,2,0,0,590,1,15007
"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF",631,24,33,7,0,32,45,3,0,775,27,1,32,2,4,2,1,0,69,0,844
AF0R-PACIFIC AIR FORCES,2650,427,9,5,0,76,0,0,0,3167,254,363,28,0,0,6,0,0,651,1,3819
AF0U-ELECTRONIC SECURITY COMMAND,28,0,0,0,0,1976,0,0,0,2004,0,0,0,0,0,55,0,0,55,0,2059
AF10-AF CTR FOR QUALITY AND MGMT INNOVATION,76,0,0,0,0,1,0,0,0,77,3,0,0,0,0,0,0,0,3,0,80
AF1C-AIR COMBAT COMMAND,7528,879,30,23,0,341,1,0,0,8802,487,7,78,0,0,71,0,0,643,0,9445
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,17,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,3,0,20
AF1L-AIR MOBILITY COMMAND,6352,675,21,8,0,160,1,0,0,7217,254,18,78,0,0,2,0,0,352,1,7570
AF1M-AIR FORCE MATERIEL COMMAND,46831,7057,378,531,0,1007,68,0,0,55872,1172,28,828,0,0,32,0,0,2060,0,57932
AF1Q-HQ AF FLIGHT STANDARDS AGENCY,24,6,0,0,0,1,0,0,0,31,3,0,0,0,0,0,0,0,3,0,34
AF1S-SPACE COMMAND,3721,548,20,18,0,210,1,0,0,4518,130,6,60,0,0,2,0,0,198,1,4717
AF1W-AF ENGINEERING AND SERVICES CTR,97,3,1,0,0,1,0,0,0,102,8,0,0,0,0,0,0,0,8,0,110
AF27-AF AGENCY FOR MODELING AND SIMULATION,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
AF28-AF COMMUNICATION AND INFORMATION CENTER,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AF29-AF NAT SECURITY EMERGENCY PREPAREDNESS,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
AF2A-AIR FORCE COST CENTER,31,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,1,0,32
AF2B-AIR FORCE DOCTRINE CENTER,10,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
AF2D-AIR FORCE PERSONNNEL OPERATIONS AGENCY,9,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,0,2,0,11
AF2E-AIR FORCE LEGAL SERVICES CENTER,53,1,30,0,0,1,0,0,0,85,11,6,10,1,0,1,0,0,29,0,114
AF2F-AIR FORCE MEDICAL SERVICES CENTER,19,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,1,0,20
AF2G-AF SERVICE INFORMATION AND NEWS CENTER,61,4,0,0,0,1,0,0,0,66,3,0,0,0,0,0,0,0,3,0,69
AF2H-AIR FORCE COMBAT OPERATIONS STAFF,7,1,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,2,0,10
AF2I-AIR NATIONAL GUARD SUPPORT CENTER,369,20,8,0,0,7,1,0,0,405,7,0,23,0,0,0,0,0,30,0,435
AF2K-USAF HISTORICAL RESEARCH CTR,34,0,0,0,0,0,0,0,0,34,26,0,1,0,0,0,0,0,27,0,61
AF2M-AIR FORCE REVIEW BOARDS OFFICE,29,2,2,0,0,0,1,0,0,34,3,0,5,0,0,1,0,0,9,0,43
AF2N-AF CTR FOR STUDIES AND ANALYSES,16,1,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,18
AF2Q-AIR WEATHER SERVICE,146,18,0,0,0,7,0,0,0,171,30,0,1,0,0,0,0,0,31,0,202
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,8,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,9
AF2S-HQ NORAD,21,2,0,0,0,8,0,0,0,31,0,0,0,0,0,0,0,0,0,0,31
AF2T-AIR FORCE SUPPLY CENTER,49,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,49
