,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Non-permanent,Unspecified,Type of Appointment - All
AB-AMERICAN BATTLE MONUMENTS COMMISSION,19,4,0,0,0,0,1,0,0,24,27,0,0,0,1,0,0,0,28,0,52
AF**-UNSPECIFIED,11,1,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,13
AF02-AIR FORCE INSPECTION AND SAFETY CENTER,15,1,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,2,0,18
AF03-AF OPERATIONAL TEST AND EVAL CTR,171,9,1,1,0,4,1,0,0,187,3,0,11,0,0,0,0,0,14,0,201
AF04-AIR FORCE COMMUNICATIONS AGENCY,259,7,3,0,0,1,0,0,0,270,17,1,12,0,0,0,0,0,30,0,300
AF05-AIR FORCE INTELLIGENCE SERVICE,0,0,0,0,0,29,0,0,0,29,0,0,0,0,0,2,0,0,2,0,31
AF06-AIR FORCE AUDIT AGENCY,636,95,0,44,0,1,4,0,0,780,4,1,2,0,0,0,0,0,7,0,787
AF07-AF OFC OF SPECIAL INVESTIGATIONS,115,8,254,0,0,66,2,0,0,445,5,2,2,0,0,0,0,0,9,0,454
AF08-AIR FORCE OFFICE OF SECURITY POLICE,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
AF09-AIR FORCE PERSONNEL CENTER,1197,689,35,96,0,38,2,0,0,2057,72,1,24,0,0,3,0,0,100,0,2157
AF0B-U.S. AIR FORCE ACADEMY,922,188,7,0,0,40,0,0,0,1157,43,190,144,0,0,0,0,0,377,0,1534
"AF0D-U.S. AIR FORCES, EUROPE",1009,86,7,5,0,31,0,0,0,1138,68,809,1,0,0,5,0,0,883,0,2021
AF0I-AIR RESERVE PERSONNEL CENTER,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
AF0J-AIR TRAINING COMMAND,11127,1675,84,78,0,504,0,0,0,13468,840,118,323,0,0,7,0,0,1288,0,14756
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",10463,1903,6,1,0,548,6,0,0,12927,117,71,412,0,0,2,0,0,602,0,13529
"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF",583,34,33,16,0,27,47,7,0,747,28,1,20,3,7,3,0,0,62,1,810
AF0R-PACIFIC AIR FORCES,2557,407,10,6,0,82,0,0,0,3062,214,341,16,0,0,5,0,0,576,0,3638
