Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,Total Appointments
AB00-AMERICAN BATTLE MONUMENTS COMMISSION,38,14,0,0,0,0,0,0,1,53,8,0,0,0,1,0,0,0,9,1,63
AF02-AIR FORCE INSPECTION AND SAFETY CENTER,15,8,0,1,0,1,0,0,0,25,0,0,2,0,0,0,0,0,2,0,27
AF03-AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,147,23,1,1,0,5,1,0,0,178,2,0,18,0,0,0,0,0,20,0,198
AF04-AIR FORCE COMMUNICATIONS AGENCY,252,37,3,2,0,2,0,0,0,296,12,0,11,0,0,0,0,0,23,0,319
AF05-AIR FORCE INTELLIGENCE SERVICE,0,0,0,0,0,33,0,0,0,33,0,0,0,0,0,0,0,0,0,0,33
AF06-AIR FORCE AUDIT AGENCY,704,6,0,40,0,2,4,0,0,756,6,0,1,0,0,0,0,0,7,0,763
AF07-AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS,110,37,396,10,0,76,2,0,0,631,3,3,2,0,0,0,0,0,8,0,639
AF08-AIR FORCE OFFICE OF SECURITY POLICE,13,5,0,0,0,1,0,0,0,19,5,0,0,0,0,0,0,0,5,0,24
AF09-AIR FORCE PERSONNEL CENTER,817,78,5,9,0,47,1,0,0,957,19,1,11,0,0,0,0,0,31,0,988
AF0B-U.S. AIR FORCE ACADEMY,879,151,7,3,0,21,0,0,0,1061,16,239,32,0,0,0,0,0,287,0,1348
"AF0D-U.S. AIR FORCES, EUROPE",907,167,13,1,0,65,0,0,0,1153,39,724,0,0,0,3,0,0,766,0,1919
AF0J-AIR EDUCATION AND TRAINING COMMAND,11327,1985,74,99,0,537,2,0,0,14024,537,137,258,0,0,11,0,0,943,0,14967
"AF0M-HEADQUARTERS, AIR FORCE RESERVE",10689,2079,4,19,0,548,5,0,0,13344,101,3,318,0,0,1,0,0,423,0,13767
"AF0N-IMMEDIATE OFFICE, HEADQUARTERS, USAF",585,101,43,12,0,31,56,5,0,833,10,5,13,4,6,3,0,0,41,0,874
AF0R-PACIFIC AIR FORCES,2427,445,11,3,0,85,0,0,0,2971,75,273,5,0,0,5,0,0,358,0,3329
AF0U-HQ AIR INTELLIGENCE AGENCY,2,2,0,8,0,2082,0,0,0,2094,0,3,0,0,0,50,0,0,53,0,2147
AF0V-AIR FORCE SPECIAL OPERATIONS COMMAND,756,163,8,17,0,90,0,0,0,1034,70,32,10,0,0,2,0,0,114,0,1148
AF11-AIR FORCE MANPOWER AGENCY,111,62,0,0,0,12,0,0,0,185,6,0,0,0,0,0,0,0,6,0,191
"AF1A-AIR FORCE C2 & INTELLIGENCE, SURVEILLANCE & RECONNAISSANCE",33,12,0,0,0,15,1,0,0,61,6,0,0,0,0,0,0,0,6,0,67
AF1C-AIR COMBAT COMMAND,7131,1862,39,23,0,547,1,0,0,9603,384,233,123,0,0,1,0,0,741,0,10344
AF1G-AIR FORCE LOGISTICS MANAGEMENT AGENCY,17,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19
AF1L-AIR MOBILITY COMMAND,6164,1426,20,13,0,303,1,0,0,7927,295,492,109,0,0,0,0,0,896,0,8823
AF1M-AIR FORCE MATERIEL COMMAND,46769,7276,415,1310,0,1224,59,0,0,57053,516,193,552,0,0,35,0,0,1296,0,58349
