Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,35-Excepted Service - Schedule D,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,45-Excepted Service - Schedule D,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,All Appointments
AA00-ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,3,1,6,0,0,0,0,3,0,0,13,0,0,0,0,0,1,1,0,0,2,0,15
AB**-UNSPECIFIED,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,4
AB00-AMERICAN BATTLE MONUMENTS COMMISSION,23,2,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,26
AF02-AIR FORCE INSPECTION AGENCY (FO),22,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,23
AF03-AIR FORCE OPERATIONAL TEST AND EVALUATION CENTER,158,58,1,0,0,0,4,1,0,0,222,0,0,3,0,0,0,0,0,0,3,0,225
AF05-AIR FORCE INTELLIGENCE ANALYSIS AGENCY,0,0,0,0,0,0,72,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,72
AF06-AIR FORCE AUDIT AGENCY,598,13,0,1,0,0,0,3,0,0,615,0,2,0,0,0,0,0,0,0,2,0,617
AF07-AIR FORCE OFFICE OF SPECIAL INVESTIGATIONS,154,76,407,0,0,0,140,2,0,0,779,3,4,0,0,0,0,0,0,0,7,0,786
"AF08-HEADQUARTERS, U.S. AIR FORCE SECURITY FORCES CENTER",29,11,0,0,0,0,7,0,0,0,47,4,0,0,0,0,0,0,0,0,4,0,51
AF09-AIR FORCE PERSONNEL CENTER,1611,107,8,3,2,0,18,2,0,0,1751,3,0,0,0,0,0,0,0,0,3,0,1754
AF0B-U.S. AIR FORCE ACADEMY,828,186,6,1,0,0,0,0,0,0,1021,35,302,5,0,7,0,0,0,0,349,0,1370
