Department,Sub-Department,Sub-Sub-Department,Location,Position,Name,Apt_Type,Pay_Plan,Lvl_grade_pay,Tenure,Expiration,Additional_Note,Additional_Note_2,Additional_Note3,,,,
ARCHITECT OF THE CAPITOL,None,None,"Washington, DC..............",Architect of the,Stephen T. Ayers.....................,PAS,EX,III,10 Years,5/13/2020,Capitol.,,,,,,
GOVERNMENT ACCOUNTABILITY OFFICE,None,None,"Washington, DC..............",Comptroller General of,Gene L. Dodaro.......................,PAS,EX,II,15 Years,12/22/2025,United States.,,,,,,
GOVERNMENT ACCOUNTABILITY OFFICE,None,None,Do......................,Deputy Comptroller,Vacant...............................,PAS,EX,III,..........,................,General.,,,,,,
GOVERNMENT PRINTING OFFICE,OFFICE OF THE PUBLIC,None,"Washington, DC..............",Public Printer........,Vacant...............................,PAS,EX,II,..........,................,,,,,,,
GOVERNMENT PRINTING OFFICE,OFFICE OF THE PUBLIC,None,Do......................,Deputy Public Printer.,Davita E. Vance-Cooks................,XS,EX,III,..........,................,,,,,,,
GOVERNMENT PRINTING OFFICE,OFFICE OF THE PUBLIC,None,Do......................,Superintendent of,Mary Alice Baish.....................,XS,SL,..........,..........,................,Documents.,,,,,,
GOVERNMENT PRINTING OFFICE,OFFICE OF THE PUBLIC,None,Do......................,Inspector General.....,Michael A. Raponi....................,XS,SL,..........,..........,................,,,,,,,
GOVERNMENT PRINTING OFFICE,OFFICE OF THE PUBLIC,None,Do......................,Executive Assistant to,Heather M. Lawson....................,SC,OT,..........,..........,................,the Public Printer.,,,,,,
LIBRARY OF CONGRESS,None,None,"Washington, DC..............",Librarian of Congress.,James H. Billington..................,PAS,EX,II,..........,................,,,,,,,
LIBRARY OF CONGRESS,TRUST FUND BOARD,None,Do......................,"Ex Officio Member,",Timothy F. Geithner..................,XS,WC,..........,5 Years,1/20/2013,Secretary of Treasury.,,,,,,
LIBRARY OF CONGRESS,TRUST FUND BOARD,None,Do......................,Board Member..........,Joan W. Harris.......................,PA,WC,..........,5 Years,12/2/2016,,,,,,,
LIBRARY OF CONGRESS,TRUST FUND BOARD,None,Do......................,......do..............,Vacant...............................,PA,WC,..........,..........,................,,,,,,,
LIBRARY OF CONGRESS,PERMANENT COMMITTEE FOR THE OLIVER WENDELL HOLMES DEVISE,None,Do......................,Committee Member......,Linda K. Kerber......................,PA,WC,..........,8 Years,6/30/2019,,,,,,,
LIBRARY OF CONGRESS,PERMANENT COMMITTEE FOR THE OLIVER WENDELL HOLMES DEVISE,None,Do......................,......do..............,Michael Les Benedict.................,PA,WC,..........,8 Years,4/30/2019,,,,,,,
LIBRARY OF CONGRESS,PERMANENT COMMITTEE FOR THE OLIVER WENDELL HOLMES DEVISE,None,Do......................,......do..............,Rachel F. Moran......................,PA,WC,..........,8 Years,9/30/2019,,,,,,,
LIBRARY OF CONGRESS,PERMANENT COMMITTEE FOR THE OLIVER WENDELL HOLMES DEVISE,None,Do......................,......do..............,Vacant...............................,PA,WC,..........,..........,................,,,,,,,
